测站点,观测方向,观测类型,观测值,测站高,棱镜高,站点序号(平差),目标序号(平差) 
5,1,Vertical,1.557373290406017,1.456,1.452,0,1
5,1,Sdist,14.994006,1.456,1.452,0,1
5,1,Vertical,1.5573635941323947,1.456,1.452,0,1
5,1,Sdist,14.994206,1.456,1.452,0,1
5,1,Vertical,1.5574411643213724,1.456,1.452,0,1
5,1,Sdist,14.994306,1.456,1.452,0,1
5,1,Vertical,1.5573732904060178,1.456,1.452,0,1
5,1,Sdist,14.994106,1.456,1.452,0,1
5,1,Vertical,1.5573500193493237,1.456,1.452,0,1
5,1,Sdist,14.994406,1.456,1.452,0,1
5,1,Hz,9.211459941081183e-06,1.456,1.452,0,1
5,1,Vertical,1.5573485649082803,1.456,1.452,0,1
5,1,Sdist,14.994319,1.456,1.452,0,1
5,1,Hz,1.2120342027799318e-05,1.456,1.452,0,1
5,1,Vertical,1.5573829866796391,1.456,1.452,0,1
5,1,Sdist,14.994019,1.456,1.452,0,1
5,1,Hz,5.429913228427452e-05,1.456,1.452,0,1
5,1,Vertical,1.557342262330426,1.456,1.452,0,1
5,1,Sdist,14.994219,1.456,1.452,0,1
5,1,Vertical,1.5573698967102492,1.456,1.452,0,1
5,1,Sdist,14.994619,1.456,1.452,0,1
5,1,Vertical,1.5573364445662525,1.456,1.452,0,1
5,1,Sdist,14.994019,1.456,1.452,0,1
5,1,Vertical,1.5573655333871192,1.456,1.452,0,1
5,1,Sdist,14.994219,1.456,1.452,0,1
5,1,Vertical,1.5573568067408585,1.456,1.452,0,1
5,1,Sdist,14.994319,1.456,1.452,0,1
5,1,Vertical,1.5573451712125126,1.456,1.452,0,1
5,1,Sdist,14.994219,1.456,1.452,0,1
5,1,Vertical,1.557365533387119,1.456,1.452,0,1
5,1,Sdist,14.994219,1.456,1.452,0,1
5,1,Vertical,1.5573456560261931,1.456,1.452,0,1
5,1,Sdist,14.994319,1.456,1.452,0,1
5,1,Vertical,1.5573907436985372,1.456,1.452,0,1
5,1,Sdist,14.994419,1.456,1.452,0,1
5,2,Hz,0.9552346984679732,1.456,1.522,0,2
5,2,Vertical,1.6083097549981094,1.456,1.522,0,2
5,2,Sdist,28.354278,1.456,1.522,0,2
5,2,Hz,0.9552613632204343,1.456,1.522,0,2
5,2,Vertical,1.6083330260548028,1.456,1.522,0,2
5,2,Sdist,28.354178,1.456,1.522,0,2
5,2,Hz,0.9552642721025209,1.456,1.522,0,2
5,2,Vertical,1.6083107246254713,1.456,1.522,0,2
5,2,Sdist,28.354678,1.456,1.522,0,2
5,2,Hz,0.9552642721025206,1.456,1.522,0,2
5,2,Vertical,1.6083461160241923,1.456,1.522,0,2
5,2,Sdist,28.354103,1.456,1.522,0,2
5,2,Hz,0.9552540910152176,1.456,1.522,0,2
5,2,Vertical,1.6083107246254713,1.456,1.522,0,2
5,2,Sdist,28.354503,1.456,1.522,0,2
5,2,Hz,0.9552511821331304,1.456,1.522,0,2
5,2,Vertical,1.6083427223284241,1.456,1.522,0,2
5,2,Sdist,28.354603,1.456,1.522,0,2
5,2,Hz,0.9552453643689576,1.456,1.522,0,2
5,2,Vertical,1.6083209057127748,1.456,1.522,0,2
5,2,Sdist,28.354203,1.456,1.522,0,2
5,2,Hz,0.9552419706731898,1.456,1.522,0,2
5,2,Vertical,1.6083567819251776,1.456,1.522,0,2
5,2,Sdist,28.354703,1.456,1.522,0,2
5,3,Hz,1.9243549455766047,1.456,1.595,0,3
5,3,Vertical,1.5931108460953256,1.456,1.595,0,3
5,3,Sdist,35.571525,1.456,1.595,0,3
5,3,Hz,1.9243583392723718,1.456,1.595,0,3
5,3,Vertical,1.593125390505759,1.456,1.595,0,3
5,3,Sdist,35.571425,1.456,1.595,0,3
5,3,Hz,1.9243602785270968,1.456,1.595,0,3
5,3,Vertical,1.5930919383617619,1.456,1.595,0,3
5,3,Sdist,35.571725,1.456,1.595,0,3
5,3,Hz,1.9243534911355615,1.456,1.595,0,3
5,3,Vertical,1.5931273297604829,1.456,1.595,0,3
5,3,Sdist,35.571657,1.456,1.595,0,3
