测站点,观测方向,观测类型,观测值,测站高,棱镜高,站点序号(平差),目标序号(平差) 
p1,p2,Hz,0.1745343974,0.2865000069,0.2905,0,1
p1,p2,Vertical,1.5726404376,0.2865000069,0.2905,0,1
p1,p2,Sdist,43.3788382779,0.2865000069,0.2905,0,1
p1,p2,Hz,0.17454017301020697,0.2865000069,0.2905,0,1
p1,p2,Vertical,1.5726346285795867,0.2865000069,0.2905,0,1
p1,p2,Sdist,43.3788382779,0.2865000069,0.2905,0,1
p1,p2,Hz,0.1745434384,0.2865000069,0.2905,0,1
p1,p2,Vertical,1.5726425651,0.2865000069,0.2905,0,1
p1,p2,Sdist,43.3788382779,0.2865000069,0.2905,0,1
p1,p2,Hz,0.17453458611020703,0.2865000069,0.2905,0,1
p1,p2,Vertical,1.572636168079586,0.2865000069,0.2905,0,1
p1,p2,Sdist,43.3788382779,0.2865000069,0.2905,0,1
p1,p2,Hz,0.17454286090000004,0.2865000069,0.2905,0,1
p1,p2,Vertical,1.5726443224,0.2865000069,0.2905,0,1
p1,p2,Sdist,43.3790382781,0.2865000069,0.2905,0,1
p1,p2,Hz,0.17452962601020697,0.2865000069,0.2905,0,1
p1,p2,Vertical,1.5726279011795858,0.2865000069,0.2905,0,1
p1,p2,Sdist,43.378938278,0.2865000069,0.2905,0,1
p1,p2,Hz,0.1745402342,0.2865000069,0.2905,0,1
p1,p2,Vertical,1.572645988,0.2865000069,0.2905,0,1
p1,p2,Sdist,43.3788382779,0.2865000069,0.2905,0,1
p1,p2,Hz,0.17453452761020705,0.2865000069,0.2905,0,1
p1,p2,Vertical,1.5726328009795862,0.2865000069,0.2905,0,1
p1,p2,Sdist,43.3787382778,0.2865000069,0.2905,0,1
p1,p2,Hz,0.1745363434,0.2865000069,0.2905,0,1
p1,p2,Vertical,1.5726491308,0.2865000069,0.2905,0,1
p1,p2,Sdist,43.3788382779,0.2865000069,0.2905,0,1
p1,p2,Hz,0.1745384266102068,0.2865000069,0.2905,0,1
p1,p2,Vertical,1.572634160979586,0.2865000069,0.2905,0,1
p1,p2,Sdist,43.3788382779,0.2865000069,0.2905,0,1
p1,p2,Hz,0.1745370712,0.2865000069,0.2905,0,1
p1,p2,Vertical,1.5726491101,0.2865000069,0.2905,0,1
p1,p2,Sdist,43.378938278,0.2865000069,0.2905,0,1
p1,p2,Hz,0.1745378416102068,0.2865000069,0.2905,0,1
p1,p2,Vertical,1.5726304170795864,0.2865000069,0.2905,0,1
p1,p2,Sdist,43.378938278,0.2865000069,0.2905,0,1
p1,p2,Hz,0.1745384713,0.2865000069,0.2905,0,1
p1,p2,Vertical,1.5726490079,0.2865000069,0.2905,0,1
p1,p2,Sdist,43.3788382779,0.2865000069,0.2905,0,1
p1,p2,Hz,0.17454113981020702,0.2865000069,0.2905,0,1
p1,p2,Vertical,1.5726290476795866,0.2865000069,0.2905,0,1
p1,p2,Sdist,43.378938278,0.2865000069,0.2905,0,1
p1,p2,Hz,0.1745387277,0.2865000069,0.2905,0,1
p1,p2,Vertical,1.5726492651,0.2865000069,0.2905,0,1
p1,p2,Sdist,43.378938278,0.2865000069,0.2905,0,1
p1,p2,Hz,0.1745402610102067,0.2865000069,0.2905,0,1
p1,p2,Vertical,1.5726285762795866,0.2865000069,0.2905,0,1
p1,p2,Sdist,43.3790382781,0.2865000069,0.2905,0,1
p1,p2,Hz,0.17453454790000003,0.2865000069,0.2905,0,1
p1,p2,Vertical,1.5726473668,0.2865000069,0.2905,0,1
p1,p2,Sdist,43.378938278,0.2865000069,0.2905,0,1
p1,p2,Hz,0.17453979001020684,0.2865000069,0.2905,0,1
p1,p2,Vertical,1.5726279281795863,0.2865000069,0.2905,0,1
p1,p2,Sdist,43.378938278,0.2865000069,0.2905,0,1
p1,p5,Hz,5.0687365175,0.2865000069,0.289,0,4
p1,p5,Vertical,1.5715298444,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8971563835,0.2865000069,0.289,0,4
p1,p5,Hz,5.068731616189793,0.2865000069,0.2905,0,4
p1,p5,Vertical,1.5715246240795864,0.2865000069,0.2905,0,4
p1,p5,Sdist,63.8972563835,0.2865000069,0.2905,0,4
p1,p5,Hz,5.0687235248,0.2865000069,0.289,0,4
p1,p5,Vertical,1.5715351729,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8973563836,0.2865000069,0.289,0,4
p1,p5,Hz,5.068738096089794,0.2865000069,0.289,0,4
p1,p5,Vertical,1.5715247010795865,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8973563836,0.2865000069,0.289,0,4
p1,p5,Hz,5.0687415206,0.2865000069,0.289,0,4
p1,p5,Vertical,1.5715299139,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8973563836,0.2865000069,0.289,0,4
p1,p5,Hz,5.068740541689794,0.2865000069,0.289,0,4
p1,p5,Vertical,1.571510922679586,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8975563838,0.2865000069,0.289,0,4
p1,p5,Hz,5.068729236,0.2865000069,0.289,0,4
p1,p5,Vertical,1.5715319567,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8973563836,0.2865000069,0.289,0,4
p1,p5,Hz,5.068730939889793,0.2865000069,0.289,0,4
p1,p5,Vertical,1.5715176241795863,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8974563837,0.2865000069,0.289,0,4
p1,p5,Hz,5.0687313144,0.2865000069,0.289,0,4
p1,p5,Vertical,1.5715359043,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8973563836,0.2865000069,0.289,0,4
p1,p5,Hz,5.068734213689793,0.2865000069,0.289,0,4
p1,p5,Vertical,1.571520797879586,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8976563839,0.2865000069,0.289,0,4
p1,p5,Hz,5.0687328148,0.2865000069,0.289,0,4
p1,p5,Vertical,1.571531069,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8974563837,0.2865000069,0.289,0,4
p1,p5,Hz,5.068740505789794,0.2865000069,0.289,0,4
p1,p5,Vertical,1.571510856679586,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8973563836,0.2865000069,0.289,0,4
p1,p5,Hz,5.0687261137,0.2865000069,0.289,0,4
p1,p5,Vertical,1.5715289615,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8974563837,0.2865000069,0.289,0,4
p1,p5,Hz,5.068736466489793,0.2865000069,0.289,0,4
p1,p5,Vertical,1.5715056720795861,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8972563835,0.2865000069,0.289,0,4
p1,p5,Hz,5.0687396111,0.2865000069,0.289,0,4
p1,p5,Vertical,1.5715326120000004,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8973563836,0.2865000069,0.289,0,4
p1,p5,Hz,5.068752444389793,0.2865000069,0.289,0,4
p1,p5,Vertical,1.5715165855795865,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8972563835,0.2865000069,0.289,0,4
p1,p5,Hz,5.0687346732,0.2865000069,0.289,0,4
p1,p5,Vertical,1.5715380817,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8974563837,0.2865000069,0.289,0,4
p1,p5,Hz,5.068748598989793,0.2865000069,0.289,0,4
p1,p5,Vertical,1.5715166952795858,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8974563837,0.2865000069,0.289,0,4
p1,p2-1,Hz,0.1745415635,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.5726403828,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.378938278,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.17453633401020685,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.5726378140795862,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.3788382779,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.1745428044,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.5726434145,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.3790382781,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.17453103851020701,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.572633194579586,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.3788382779,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.17454153150000007,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.5726406489,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.3787382778,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.1745356904102069,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.5726393852795866,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.3788382779,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.1745385757,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.5726401674,0.2865000069,0.2905,0,
