测站点,观测方向,观测类型,观测值,测站高,棱镜高,站点序号(平差),目标序号(平差) 
p1,p2,Hz,0.174534397,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572640438,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37883828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174540173,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572634629,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37883828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174543438,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572642565,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37883828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174534586,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572636168,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37883828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174542861,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572644322,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37903828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174529626,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572627901,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37893828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174540234,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572645988,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37883828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174534528,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572632801,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37873828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174536343,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572649131,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37883828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174538427,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572634161,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37883828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174537071,0.286500007,0.2905,0,1
p1,p2,Vertical,1.57264911,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37893828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174537842,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572630417,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37893828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174538471,0.286500007,0.2905,0,1
